MSSubClass,LotFrontage,LotArea,OverallQual,OverallCond,YearBuilt,YearRemodAdd,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,1stFlrSF,2ndFlrSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,Bedroom,Kitchen,TotRmsAbvGrd,GarageYrBlt,GarageCars,GarageArea,WoodDeckSF,ScreenPorch,PoolArea,MoSold,YrSold,SalePrice
60,65,8450,7,5,2003,2003,706,0,150,856,856,854,1710,1,0,2,1,3,1,8,2003,2,548,0,0,0,2,2008,208500
20,80,9600,6,8,1976,1976,978,0,284,1262,1262,0,1262,0,1,2,0,3,1,6,1976,2,460,298,0,0,5,2007,181500
60,68,11250,7,5,2001,2002,486,0,434,920,920,866,1786,1,0,2,1,3,1,6,2001,2,608,0,0,0,9,2008,223500
70,60,9550,7,5,1915,1970,216,0,540,756,961,756,1717,1,0,1,0,3,1,7,1998,3,642,0,0,0,2,2006,140000
60,84,14260,8,5,2000,2000,655,0,490,1145,1145,1053,2198,1,0,2,1,4,1,9,2000,3,836,192,0,0,12,2008,250000
50,85,14115,5,5,1993,1995,732,0,64,796,796,566,1362,1,0,1,1,1,1,5,1993,2,480,40,0,0,10,2009,143000
20,75,10084,8,5,2004,2005,1369,0,317,1686,1694,0,1694,1,0,2,0,3,1,7,2004,2,636,255,0,0,8,2007,307000
60,NA,10382,7,6,1973,1973,859,32,216,1107,1107,983,2090,1,0,2,1,3,1,7,1973,2,484,235,0,0,11,2009,200000
50,51,6120,7,5,1931,1950,0,0,952,952,1022,752,1774,0,0,2,0,2,2,8,1931,2,468,90,0,0,4,2008,129900
190,50,7420,5,6,1939,1950,851,0,140,991,1077,0,1077,1,0,1,0,2,2,5,1939,1,205,0,0,0,1,2008,118000
20,70,11200,5,5,1965,1965,906,0,134,1040,1040,0,1040,1,0,1,0,3,1,5,1965,1,384,0,0,0,2,2008,129500
60,85,11924,9,5,2005,2006,998,0,177,1175,1182,1142,2324,1,0,3,0,4,1,11,2005,3,736,147,0,0,7,2006,345000
20,NA,12968,5,6,1962,1962,737,0,175,912,912,0,912,1,0,1,0,2,1,4,1962,1,352,140,176,0,9,2008,144000
20,91,10652,7,5,2006,2007,0,0,1494,1494,1494,0,1494,0,0,2,0,3,1,7,2006,3,840,160,0,0,8,2007,279500
20,NA,10920,6,5,1960,1960,733,0,520,1253,1253,0,1253,1,0,1,1,2,1,5,1960,1,352,0,0,0,5,2008,157000
45,51,6120,7,8,1929,2001,0,0,832,832,854,0,854,0,0,1,0,2,1,5,1991,2,576,48,0,0,7,2007,132000
20,NA,11241,6,7,1970,1970,578,0,426,1004,1004,0,1004,1,0,1,0,2,1,5,1970,2,480,0,0,0,3,2010,149000
90,72,10791,4,5,1967,1967,0,0,0,0,1296,0,1296,0,0,2,0,2,2,6,1967,2,516,0,0,0,10,2006,90000
20,66,13695,5,5,2004,2004,646,0,468,1114,1114,0,1114,1,0,1,1,3,1,6,2004,2,576,0,0,0,6,2008,159000
20,70,7560,5,6,1958,1965,504,0,525,1029,1339,0,1339,0,0,1,0,3,1,6,1958,1,294,0,0,0,5,2009,139000
60,101,14215,8,5,2005,2006,0,0,1158,1158,1158,1218,2376,0,0,3,1,4,1,9,2005,3,853,240,0,0,11,2006,325300
45,57,7449,7,7,1930,1950,0,0,637,637,1108,0,1108,0,0,1,0,3,1,6,1930,1,280,0,0,0,6,2007,139400
20,75,9742,8,5,2002,2002,0,0,1777,1777,1795,0,1795,0,0,2,0,3,1,7,2002,2,534,171,0,0,9,2008,230000
120,44,4224,5,7,1976,1976,840,0,200,1040,1060,0,1060,1,0,1,0,3,1,6,1976,2,572,100,0,0,6,2007,129900
20,NA,8246,5,8,1968,2001,188,668,204,1060,1060,0,1060,1,0,1,0,3,1,6,1968,1,270,406,0,0,5,2010,154000
20,110,14230,8,5,2007,2007,0,0,1566,1566,1600,0,1600,0,0,2,0,3,1,7,2007,3,890,0,0,0,7,2009,256300
20,60,7200,5,7,1951,2000,234,486,180,900,900,0,900,0,1,1,0,3,1,5,2005,2,576,222,0,0,5,2010,134800
20,98,11478,8,5,2007,2008,1218,0,486,1704,1704,0,1704,1,0,2,0,3,1,7,2008,3,772,0,0,0,5,2010,306000
20,47,16321,5,6,1957,1997,1277,0,207,1484,1600,0,1600,1,0,1,0,2,1,6,1957,1,319,288,0,0,12,2006,207500
30,60,6324,4,6,1927,1950,0,0,520,520,520,0,520,0,0,1,0,1,1,4,1920,1,240,49,0,0,5,2008,68500
70,50,8500,4,4,1920,1950,0,0,649,649,649,668,1317,0,0,1,0,3,1,6,1920,1,250,0,0,0,7,2008,40000
20,NA,8544,5,6,1966,2006,0,0,1228,1228,1228,0,1228,0,0,1,1,3,1,6,1966,1,271,0,0,0,6,2008,149350
20,85,11049,8,5,2007,2007,0,0,1234,1234,1234,0,1234,0,0,2,0,3,1,7,2007,2,484,0,0,0,1,2008,179900
20,70,10552,5,5,1959,1959,1018,0,380,1398,1700,0,1700,0,1,1,1,4,1,6,1959,2,447,0,0,0,4,2010,165500
120,60,7313,9,5,2005,2005,1153,0,408,1561,1561,0,1561,1,0,2,0,2,1,6,2005,2,556,203,0,0,8,2007,277500
60,108,13418,8,5,2004,2005,0,0,1117,1117,1132,1320,2452,0,0,3,1,4,1,9,2004,3,691,113,0,0,9,2006,309000
20,112,10859,5,5,1994,1995,0,0,1097,1097,1097,0,1097,0,0,1,1,3,1,6,1995,2,672,392,0,0,6,2009,145000
20,74,8532,5,6,1954,1990,1213,0,84,1297,1297,0,1297,0,1,1,0,3,1,5,1954,2,498,0,0,0,10,2009,153000
20,68,7922,5,7,1953,2007,731,0,326,1057,1057,0,1057,1,0,1,0,3,1,5,1953,1,246,0,0,0,1,2010,109000
90,65,6040,4,5,1955,1955,0,0,0,0,1152,0,1152,0,0,2,0,2,2,6,NA,0,0,0,0,0,6,2008,82000
20,84,8658,6,5,1965,1965,643,0,445,1088,1324,0,1324,0,0,2,0,3,1,6,1965,2,440,0,0,0,12,2006,160000
20,115,16905,5,6,1959,1959,967,0,383,1350,1328,0,1328,0,1,1,1,2,1,5,1959,1,308,0,0,0,7,2007,170000
85,NA,9180,5,7,1983,1983,747,93,0,840,884,0,884,1,0,1,0,2,1,5,1983,2,504,240,0,0,12,2007,144000
20,NA,9200,5,6,1975,1980,280,491,167,938,938,0,938,1,0,1,0,3,1,5,1977,1,308,145,0,0,7,2008,130250
20,70,7945,5,6,1959,1959,179,506,465,1150,1150,0,1150,1,0,1,0,3,1,6,1959,1,300,0,0,0,5,2006,141000
120,61,7658,9,5,2005,2005,456,0,1296,1752,1752,0,1752,1,0,2,0,2,1,6,2005,2,576,196,0,0,2,2010,319900
50,48,12822,7,5,2003,2003,1351,0,83,1434,1518,631,2149,1,0,1,1,1,1,6,2003,2,670,168,198,0,8,2009,239686
20,84,11096,8,5,2006,2006,24,0,1632,1656,1656,0,1656,0,0,2,0,3,1,7,2006,3,826,0,0,0,7,2007,249700
190,33,4456,4,5,1920,2008,0,0,736,736,736,716,1452,0,0,2,0,2,3,8,NA,0,0,0,0,0,6,2009,113000
20,66,7742,5,7,1966,1966,763,0,192,955,955,0,955,1,0,1,0,3,1,6,1966,1,386,0,0,0,1,2007,127000
60,NA,13869,6,6,1997,1997,182,0,612,794,794,676,1470,0,1,2,0,3,1,6,1997,2,388,0,0,0,7,2007,177000
50,52,6240,6,6,1934,1950,0,0,816,816,816,0,1176,0,0,1,0,3,1,6,1985,2,528,112,0,0,9,2006,114500
90,110,8472,5,5,1963,1963,104,712,0,816,816,0,816,1,0,1,0,2,1,5,1963,2,516,106,0,0,5,2010,110000
20,68,50271,9,5,1981,1987,1810,0,32,1842,1842,0,1842,2,0,0,1,0,1,5,1981,3,894,857,0,0,11,2006,385000
80,60,7134,5,5,1955,1955,384,0,0,384,1360,0,1360,0,0,1,0,3,1,6,1962,2,572,0,0,0,2,2007,130000
20,100,10175,6,5,1964,1964,490,0,935,1425,1425,0,1425,0,0,2,0,3,1,7,1964,2,576,0,0,0,7,2008,180500
160,24,2645,8,5,1999,2000,649,0,321,970,983,756,1739,1,0,2,1,3,1,7,1999,2,480,115,0,0,8,2009,172500
60,89,11645,7,5,2004,2004,0,0,860,860,860,860,1720,0,0,2,1,3,1,7,2004,2,565,0,0,0,8,2006,196500
60,66,13682,10,5,2006,2006,0,0,1410,1410,1426,1519,2945,0,0,3,1,3,1,10,2006,3,641,192,0,0,10,2006,438780
20,60,7200,5,7,1972,1972,632,0,148,780,780,0,780,0,0,1,0,2,1,4,1973,1,352,196,0,0,1,2008,124900
20,63,13072,6,5,2004,2004,941,0,217,1158,1158,0,1158,1,0,1,1,3,1,5,2006,2,576,0,0,0,5,2006,158000
75,60,7200,5,7,1920,1996,0,0,530,530,581,530,1111,0,0,1,0,3,1,6,1935,1,288,0,0,0,3,2007,101000
120,44,6442,8,5,2006,2006,24,0,1346,1370,1370,0,1370,0,0,2,0,2,1,6,2006,2,484,120,0,0,10,2007,202500
70,50,10300,7,6,1921,1950,0,0,576,576,902,808,1710,0,0,2,0,3,1,9,1990,2,480,12,0,0,4,2010,140000
60,NA,9375,7,5,1997,1998,739,0,318,1057,1057,977,2034,1,0,2,1,3,1,8,1998,2,645,576,0,0,2,2009,219500
60,76,9591,8,5,2004,2005,0,0,1143,1143,1143,1330,2473,0,0,2,1,4,1,9,2004,3,852,192,0,0,10,2007,317000
20,NA,19900,7,5,1970,1989,912,0,1035,1947,2207,0,2207,1,0,2,0,3,1,7,1970,2,576,301,0,0,7,2010,180000
20,72,10665,7,5,2003,2003,1013,0,440,1453,1479,0,1479,1,0,2,0,3,1,7,2003,2,558,144,0,0,6,2007,226000
30,47,4608,4,6,1945,1950,0,0,747,747,747,0,747,0,0,1,0,2,1,4,1945,1,220,0,0,0,6,2010,80000
50,81,15593,7,4,1953,1953,603,0,701,1304,1304,983,2287,0,0,2,0,3,1,7,1953,2,667,0,0,0,7,2006,225000
20,95,13651,7,6,1973,1973,1880,0,343,2223,2223,0,2223,1,0,2,0,3,1,8,1973,2,516,300,0,0,2,2007,244000
20,69,7599,4,6,1982,2006,565,0,280,845,845,0,845,1,0,1,0,2,1,4,1987,2,360,0,0,0,6,2007,129500
60,74,10141,7,5,1998,1998,0,0,832,832,885,833,1718,0,0,2,1,3,1,7,1998,2,427,0,291,0,12,2009,185000
20,85,10200,5,7,1954,2003,320,362,404,1086,1086,0,1086,1,0,1,0,3,1,6,1989,2,490,0,0,0,5,2010,144900
50,60,5790,3,6,1915,1950,0,0,840,840,840,765,1605,0,0,2,0,3,2,8,1915,1,379,0,0,0,5,2010,107400
180,21,1596,4,5,1973,1973,462,0,0,462,526,462,988,1,0,1,0,2,1,5,1973,1,297,120,0,0,11,2009,91000
20,NA,8475,4,7,1956,1956,228,0,724,952,952,0,952,0,0,1,0,2,1,4,1956,1,283,0,0,0,4,2008,135750
50,50,8635,5,5,1948,2001,336,41,295,672,1072,213,1285,1,0,1,0,2,1,6,1948,1,240,0,0,0,1,2008,127000
90,72,10778,4,5,1968,1968,0,0,1768,1768,1768,0,1768,0,0,2,0,4,2,8,NA,0,0,0,0,0,4,2010,136500
50,60,10440,5,6,1910,1981,0,0,440,440,682,548,1230,0,0,1,1,2,1,5,1966,2,440,74,0,0,5,2009,110000
60,100,13000,6,6,1968,1968,448,0,448,896,1182,960,2142,0,0,2,1,4,1,8,1968,1,509,0,252,0,6,2009,193500
120,32,4500,6,5,1998,1998,1201,0,36,1237,1337,0,1337,1,0,2,0,2,1,5,1998,2,405,0,0,0,3,2006,153500
